Cong,idno,state,cd,statenm,party,name,dwnom1
110,2605,23,15,MICHIGA,100,DINGELL,-0.417
110,10713,23,14,MICHIGA,100,CONYERS,-0.637
110,12036,25,7,WISCONS,100,OBEY,-0.461
110,13035,13,15,NEW YOR,100,RANGEL,-0.445
110,13047,43,10,FLORIDA,200,YOUNG,0.445
110,14045,24,16,OHIO,200,REGULA,0.401
110,14053,71,13,CALIFOR,100,STARK,-0.724
110,14066,81,1,ALASKA,200,YOUNG,0.45
110,14072,14,12,PENNSYL,100,MURTHA,-0.227
110,14256,71,7,CALIFOR,100,MILLER,-0.66
110,14265,33,8,MINNESO,100,OBERSTAR,-0.54
110,14280,71,30,CALIFOR,100,WAXMAN,-0.471
110,14290,49,14,TEXAS,200,PAUL,1.264
110,14413,73,6,WASHING,100,DICKS,-0.285
110,14430,23,5,MICHIGA,100,KILDEE,-0.328
110,14435,3,7,MASSACH,100,MARKEY,-0.559
110,14448,56,3,WEST VI,100,RAHALL,-0.327
110,14451,34,4,MISSOUR,100,SKELTON,-0.186
110,14644,71,41,CALIFOR,200,LEWIS,0.513
110,14647,71,3,CALIFOR,200,LUNGREN,0.676
110,14657,25,5,WISCONS,200,SENSENBR,1.069
110,14675,25,6,WISCONS,200,PETRI,0.638
110,14813,71,26,CALIFOR,200,DREIER,0.581
110,14824,3,4,MASSACH,100,FRANK,-0.559
110,14835,71,52,CALIFOR,200,HUNTER,0.608
110,14837,71,12,CALIFOR,100,LANTOS,-0.4
110,14854,51,5,KENTUCK,200,ROGERS,0.493
110,14863,12,4,NEW JER,200,SMITH,0.309
110,14869,40,10,VIRGINI,200,WOLF,0.437
110,14873,52,5,MARYLAN,100,HOYER,-0.322
110,15000,13,5,NEW YOR,100,ACKERMAN,-0.39
110,15005,71,28,CALIFOR,100,BERMAN,-0.362
110,15010,40,9,VIRGINI,100,BOUCHER,-0.207
110,15014,22,5,INDIANA,200,BURTON,0.706
110,15019,54,5,TENNESS,100,COOPER,-0.208
110,15029,24,9,OHIO,100,KAPTUR,-0.382
110,15033,23,12,MICHIGA,100,LEVIN,-0.352
110,15049,49,27,TEXAS,100,ORTIZ,-0.225
110,15064,48,5,SOUTH C,100,SPRATT,-0.289
110,15072,13,10,NEW YOR,100,TOWNS,-0.459
110,15083,56,1,WEST VI,100,MOLLOHAN,-0.286
110,15085,49,6,TEXAS,200,BARTON,0.668
110,15092,47,6,NORTH C,200,COBLE,0.719
110,15100,54,6,TENNESS,100,GORDON,-0.144
110,15104,14,11,PENNSYL,100,KANJORSK,-0.304
110,15112,12,3,NEW JER,200,SAXTON,0.377
110,15124,22,1,INDIANA,100,VISCLOSK,-0.443
110,15245,82,1,HAWAII,100,ABERCROM,-0.389
110,15401,45,6,LOUISIA,200,BAKER,0.546
110,15410,72,4,OREGON,100,DEFAZIO,-0.562
110,15413,71,24,CALIFOR,200,GALLEGLY,0.558
110,15417,21,14,ILLINOI,200,HASTERT,0.594
110,15420,71,2,CALIFOR,200,HERGER,0.685
110,15431,44,5,GEORGIA,100,LEWIS,-0.595
110,15438,47,4,NORTH C,100,PRICE,-0.378
110,15444,13,28,NEW YOR,100,SLAUGHTE,-0.569
110,15445,49,21,TEXAS,200,SMITH,0.563
110,15446,23,6,MICHIGA,200,UPTON,0.488
110,15448,71,8,CALIFOR,100,PELOSI,-0.455
110,15449,1,4,CONNECT,200,SHAYS,0.334
110,15451,45,4,LOUISIA,200,MCCRERY,0.564
110,15453,21,12,ILLINOI,100,COSTELLO,-0.396
110,15454,12,6,NEW JER,100,PALLONE,-0.537
110,15455,54,2,TENNESS,200,DUNCAN,0.816
110,15603,13,17,NEW YOR,100,ENGEL,-0.345
110,15604,24,5,OHIO,200,GILLMOR,0.429
110,15612,13,18,NEW YOR,100,LOWEY,-0.381
110,15613,73,7,WASHING,100,MCDERMOT,-0.74
110,15614,13,21,NEW YOR,100,MCNULTY,-0.449
110,15616,3,2,MASSACH,100,NEAL,-0.449
110,15619,12,10,NEW JER,100,PAYNE,-0.594
110,15621,71,46,CALIFOR,200,ROHRABAC,0.83
110,15627,43,6,FLORIDA,200,STEARNS,0.73
110,15628,54,8,TENNESS,100,TANNER,-0.198
110,15630,13,25,NEW YOR,200,WALSH,0.375
110,15634,43,18,FLORIDA,200,ROS-LEHT,0.412
110,15637,46,4,MISSISS,100,TAYLOR,-0.157
110,20100,61,6,ARIZONA,200,FLAKE,1.009
110,20101,42,3,ARKANSA,200,BOOZMAN,0.56
110,20102,42,4,ARKANSA,100,ROSS,-0.215
110,20103,71,15,CALIFOR,100,HONDA,-0.537
110,20104,71,29,CALIFOR,100,SCHIFF,-0.323
110,20105,71,32,CALIFOR,100,SOLIS,-0.509
110,20106,71,33,CALIFOR,100,WATSON,-0.538
110,20107,71,49,CALIFOR,200,ISSA,0.764
110,20108,71,53,CALIFOR,100,DAVIS,-0.326
110,20110,43,1,FLORIDA,200,MILLER,0.743
110,20111,43,4,FLORIDA,200,CRENSHAW,0.541
110,20112,43,8,FLORIDA,200,KELLER,0.598
110,20113,43,12,FLORIDA,200,PUTNAM,0.585
110,20115,21,10,ILLINOI,200,KIRK,0.473
110,20116,21,15,ILLINOI,200,JOHNSON,0.447
110,20117,22,6,INDIANA,200,PENCE,0.84
110,20119,3,9,MASSACH,100,LYNCH,-0.359
110,20120,23,8,MICHIGA,200,ROGERS,0.56
110,20122,33,4,MINNESO,100,MCCOLLUM,-0.432
110,20123,34,2,MISSOUR,200,AKIN,0.76
110,20124,34,6,MISSOUR,200,GRAVES,0.564
110,20125,64,1,MONTANA,200,REHBERG,0.5
110,20127,12,7,NEW JER,200,FERGUSON,0.395
110,20129,13,2,NEW YOR,100,ISRAEL,-0.313
110,20130,24,12,OHIO,200,TIBERI,0.595
110,20131,53,1,OKLAHOM,200,SULLIVAN,0.699
110,20134,14,9,PENNSYL,200,SHUSTER,0.539
110,20135,14,19,PENNSYL,200,PLATTS,0.397
110,20136,5,2,RHODE I,100,LANGEVIN,-0.356
110,20137,48,1,SOUTH C,200,BROWN,0.53
110,20138,48,2,SOUTH C,200,WILSON,0.729
110,20139,49,7,TEXAS,200,CULBERSO,0.643
110,20140,67,2,UTAH,100,MATHESON,-0.143
110,20141,40,1,VIRGINI,200,DAVIS,0.5
110,20143,40,4,VIRGINI,200,FORBES,0.549
110,20144,40,7,VIRGINI,200,CANTOR,0.752
110,20145,73,2,WASHING,100,LARSEN,-0.378
110,20146,56,2,WEST VI,200,CAPITO,0.412
110,20147,34,1,MISSOUR,100,CLAY,-0.505
110,20300,41,1,ALABAMA,200,BONNER,0.546
110,20301,41,3,ALABAMA,200,ROGERS,0.483
110,20302,41,7,ALABAMA,100,DAVIS,-0.241
